train/n_updates,train/entropy_loss,train/explained_variance,train/policy_loss,rollout/ep_len_mean,time/total_timesteps,train/value_loss,train/learning_rate,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean
99,-0.6866034865379333,-0.09032225608825684,1.8833961486816406,30.6,500,10.106375694274902,0.0007,168,2,100,30.6
199,-0.6754807829856873,0.2519933581352234,1.252217173576355,32.06666666666667,1000,4.385647773742676,0.0007,155,6,200,32.06666666666667
299,-0.5179322957992554,-0.036354660987854004,1.9002500772476196,38.8421052631579,1500,6.446335792541504,0.0007,151,9,300,38.8421052631579
399,-0.6699199676513672,0.025757133960723877,1.3081141710281372,42.04255319148936,2000,6.0935893058776855,0.0007,152,13,400,42.04255319148936
499,-0.586707592010498,-0.0033892393112182617,-9.360565185546875,47.0377358490566,2500,474.2265319824219,0.0007,154,16,500,47.0377358490566
599,-0.6070482134819031,-0.01864802837371826,0.9562612771987915,51.24561403508772,3000,4.617392063140869,0.0007,155,19,600,51.24561403508772
699,-0.6638259291648865,-0.0007435083389282227,0.9584217071533203,53.06153846153846,3500,4.09604024887085,0.0007,155,22,700,53.06153846153846
799,-0.5778573751449585,0.000713348388671875,0.9349977374076843,54.465753424657535,4000,3.5686962604522705,0.0007,155,25,800,54.465753424657535
899,-0.6083405613899231,0.0002713203430175781,0.6799511313438416,56.76623376623377,4500,3.093709945678711,0.0007,157,28,900,56.76623376623377
999,-0.35415196418762207,-3.4570693969726562e-06,1.225529670715332,62.44871794871795,5000,2.5881173610687256,0.0007,157,31,1000,62.44871794871795
1099,-0.6116976737976074,-8.738040924072266e-05,0.5821723937988281,66.63414634146342,5500,2.1679513454437256,0.0007,159,34,1100,66.63414634146342
1199,-0.5000107288360596,1.895427703857422e-05,0.3538263440132141,69.32941176470588,6000,1.7743877172470093,0.0007,159,37,1200,69.32941176470588
1299,-0.40664491057395935,-8.702278137207031e-06,0.5670813918113708,73.02247191011236,6500,1.4222692251205444,0.0007,158,41,1300,73.02247191011236
1399,-0.5527247190475464,-0.00016951560974121094,0.42098966240882874,75.73913043478261,7000,1.1128758192062378,0.0007,157,44,1400,75.73913043478261
