train/n_updates,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/iterations,train/value_loss,rollout/ep_len_mean,train/learning_rate,train/entropy_loss,train/explained_variance,train/policy_loss
99,500,-345.77813580000003,2,209,100,24.709653854370117,92.0,0.0007,-1.1615095138549805,-0.18107974529266357,-4.885356426239014
199,1000,-383.7817671,4,202,200,1.5416663885116577,98.8,0.0007,-1.2063432931900024,-0.0405963659286499,-1.5685484409332275
299,1500,-366.81836628571426,7,204,300,99.52458953857422,100.5,0.0007,-1.3531442880630493,-0.0025076866149902344,-13.937323570251465
399,2000,-362.78212472222225,9,204,400,3.0275607109069824,104.44444444444444,0.0007,-1.2815369367599487,0.0007058382034301758,-2.223844289779663
499,2500,-389.5493592727273,12,203,500,1.7570399045944214,112.5909090909091,0.0007,-1.2896696329116821,0.0018265843391418457,0.432271808385849
599,3000,-395.98959887499996,14,205,600,3.9409141540527344,115.54166666666667,0.0007,-0.7703656554222107,-9.417533874511719e-06,-1.9415889978408813
699,3500,-386.65054322222215,16,206,700,34.9405632019043,124.96296296296296,0.0007,-0.8540695309638977,-0.008974194526672363,4.623529434204102
799,4000,-360.650064032258,19,208,800,123.4566879272461,126.09677419354838,0.0007,-1.1491979360580444,-0.00031447410583496094,-13.357687950134277
899,4500,-342.8697081714286,21,208,900,12.031611442565918,127.37142857142857,0.0007,-1.0144836902618408,3.6716461181640625e-05,-5.108857154846191
999,5000,-332.7930690789474,24,208,1000,228.2139129638672,129.8421052631579,0.0007,-0.9992027282714844,2.0265579223632812e-06,-20.425537109375
1099,5500,-328.08179099999995,26,207,1100,0.745141327381134,133.675,0.0007,-0.7660754323005676,0.00024068355560302734,0.1883649080991745
1199,6000,-326.59551352380953,28,208,1200,6.296633720397949,142.45238095238096,0.0007,-0.6510745882987976,0.0007342100143432617,0.45735031366348267
1299,6500,-320.54235593181824,31,207,1300,26.95522117614746,146.13636363636363,0.0007,-0.8912509083747864,-5.7578086853027344e-05,2.731253147125244
1399,7000,-312.62108339130435,33,207,1400,67.07347869873047,147.56521739130434,0.0007,-1.0742473602294922,8.046627044677734e-06,-8.212285041809082
1499,7500,-311.94503612499994,36,208,1500,2223.992919921875,156.08333333333334,0.0007,-0.39324650168418884,-0.0009783506393432617,-1.1242196559906006
1599,8000,-306.01930673999993,38,208,1600,18.284704208374023,159.42,0.0007,-1.0692540407180786,2.47955322265625e-05,4.549465656280518
1699,8500,-305.72687535294114,40,208,1700,35.66684341430664,161.27450980392157,0.0007,-0.9465360641479492,1.138448715209961e-05,-3.2005958557128906
1799,9000,-297.95610922641504,43,208,1800,18.385799407958984,167.43396226415095,0.0007,-0.5898701548576355,-1.633167266845703e-05,-4.10055685043335
1899,9500,-293.0564731454545,45,208,1900,106.33654022216797,169.34545454545454,0.0007,-0.7039265036582947,1.7881393432617188e-07,6.783210754394531
1999,10000,-288.16771757894736,47,209,2000,14.123748779296875,170.59649122807016,0.0007,-0.7316979765892029,1.7881393432617188e-06,2.345841646194458
2099,10500,-288.16771757894736,50,209,2100,10.969261169433594,170.59649122807016,0.0007,-1.2951356172561646,0.06280463933944702,2.031841278076172
2199,11000,-280.64645054237286,52,209,2200,19.117311477661133,184.5593220338983,0.0007,-0.9735814929008484,-2.6226043701171875e-05,-6.430006504058838
2299,11500,-279.4892800327869,54,209,2300,18.749927520751953,187.327868852459,0.0007,-0.6669086217880249,0.0001316070556640625,1.099501371383667
2399,12000,-275.60553366666664,57,209,2400,9.266268730163574,187.66666666666666,0.0007,-0.9180999994277954,-2.5153160095214844e-05,-4.055398464202881
2499,12500,-276.501495640625,59,208,2500,6.680087566375732,192.390625,0.0007,-0.4957628846168518,-9.298324584960938e-06,0.8413324356079102
2599,13000,-275.8583826363637,62,209,2600,30.584747314453125,195.6060606060606,0.0007,-0.5837233662605286,-3.4570693969726562e-06,1.254571795463562
2699,13500,-273.77543725,64,208,2700,2.2020301818847656,196.52941176470588,0.0007,-0.7046657204627991,1.3113021850585938e-06,0.6629485487937927
2799,14000,-272.4625055362319,67,208,2800,25.7637939453125,197.30434782608697,0.0007,-0.6660264134407043,-3.7550926208496094e-05,3.072721242904663
2899,14500,-265.5100608611111,69,208,2900,3.228930711746216,200.375,0.0007,-0.9790287017822266,0.0,0.3046843111515045
2999,15000,-260.4060391756757,71,208,3000,85.4979476928711,201.74324324324326,0.0007,-0.5451743006706238,0.0,-10.1160888671875
3099,15500,-258.9874854868421,74,208,3100,149.2890167236328,201.69736842105263,0.0007,-0.6961876153945923,-3.421306610107422e-05,6.988222599029541
3199,16000,-258.22838175324677,76,208,3200,442.0656433105469,201.8961038961039,0.0007,-1.230568528175354,-4.964165210723877,-3.1878910064697266
3299,16500,-251.93240864102563,79,208,3300,5.223657131195068,211.0,0.0007,-0.8279992938041687,2.8014183044433594e-06,-0.8439483642578125
3399,17000,-250.44215787499996,81,208,3400,26.544677734375,211.2875,0.0007,-0.250916451215744,7.808208465576172e-06,-3.831083059310913
3499,17500,-244.71205595061724,84,208,3500,132.51324462890625,214.62962962962962,0.0007,-0.6791003942489624,-0.00011098384857177734,-6.151451110839844
3599,18000,-243.2738464457831,86,208,3600,20.55658531188965,216.3012048192771,0.0007,-0.6705013513565063,-3.123283386230469e-05,-5.8533034324646
3699,18500,-242.7335854235294,88,208,3700,883.6432495117188,215.90588235294118,0.0007,-0.009220442734658718,-0.03098475933074951,-0.029260272160172462
3799,19000,-240.7262219772727,91,207,3800,5.461169719696045,213.5681818181818,0.0007,-0.1455240100622177,-7.295608520507812e-05,0.056808602064847946
3899,19500,-235.58733220224718,93,207,3900,28.7216854095459,217.03370786516854,0.0007,-0.6501694917678833,-2.6226043701171875e-05,-1.7198638916015625
3999,20000,-233.59197561538463,96,207,4000,9.026206970214844,219.32967032967034,0.0007,-0.689208984375,-1.3113021850585938e-06,-1.0965728759765625
4099,20500,-231.51499303260871,98,207,4100,0.1214250922203064,219.6086956521739,0.0007,-0.35443297028541565,0.19079864025115967,0.028048282489180565
4199,21000,-226.56027753191495,101,207,4200,68.55242156982422,221.6595744680851,0.0007,-0.5964558720588684,-0.00037109851837158203,1.7321029901504517
