rollout/ep_rew_mean,time/episodes,time/time_elapsed,train/n_updates,train/learning_rate,rollout/ep_len_mean,rollout/exploration_rate,train/loss,time/total_timesteps,time/fps
3.0,4,3,226,0.0004,252.0,0.9900108108108109,0.0019957157783210278,1008,323
1.875,8,5,385,0.0004,205.25,0.983727927927928,0.013892818242311478,1642,326
1.3333333333333333,12,6,529,0.0004,184.91666666666666,0.9780099099099099,0.00023974073701538146,2219,325
1.125,16,8,684,0.0004,177.4375,0.9718657657657658,7.525931869167835e-05,2839,321
1.45,20,11,925,0.0004,190.2,0.9623027027027028,0.002129791770130396,3804,318
1.5,24,14,1129,0.0004,192.41666666666666,0.954236036036036,0.0009951286483556032,4618,318
1.4285714285714286,28,16,1297,0.0004,188.89285714285714,0.9475864864864865,0.00015983384218998253,5289,318
1.40625,32,18,1488,0.0004,189.1875,0.9400054054054053,9.69321554293856e-05,6054,320
1.3888888888888888,36,20,1680,0.0004,189.47222222222223,0.9324045045045045,8.887442527338862e-05,6821,325
1.275,40,22,1825,0.0004,185.075,0.9266369369369369,0.00016389970551244915,7403,327
1.2727272727272727,44,24,2007,0.0004,184.77272727272728,0.9194324324324323,0.00016264893929474056,8130,329
1.25,48,26,2179,0.0004,183.75,0.9125945945945946,0.015849988907575607,8820,331
1.25,52,28,2362,0.0004,183.67307692307693,0.9053504504504505,2.8306170861469582e-05,9551,332
1.3035714285714286,56,31,2571,0.0004,185.5,0.8970558558558559,0.0004464307567104697,10388,334
1.2833333333333334,60,33,2760,0.0004,185.71666666666667,0.8895738738738739,0.00014935350918676704,11143,335
1.328125,64,36,2977,0.0004,187.65625,0.880981981981982,0.015083222649991512,12010,333
1.338235294117647,68,38,3180,0.0004,188.5735294117647,0.8729252252252252,3.127509990008548e-05,12823,330
1.3194444444444444,72,41,3363,0.0004,188.26388888888889,0.8656711711711711,0.0004433727590367198,13555,329
1.3026315789473684,76,43,3530,0.0004,187.14473684210526,0.8590513513513514,8.275565051008016e-05,14223,328
1.2875,80,45,3700,0.0004,186.2875,0.8523126126126126,0.015604127198457718,14903,327
1.2619047619047619,84,47,3867,0.0004,185.38095238095238,0.845682882882883,0.00018299074145033956,15572,325
1.2954545454545454,88,50,4081,0.0004,186.67045454545453,0.8372099099099098,3.0503138987114653e-05,16427,323
1.326086956521739,92,53,4286,0.0004,187.4673913043478,0.8290837837837838,6.59673023619689e-05,17247,321
1.3541666666666667,96,56,4504,0.0004,188.73958333333334,0.8204423423423424,8.072605123743415e-05,18119,320
1.33,100,59,4675,0.0004,188.02,0.8136738738738739,6.346045847749338e-05,18802,318
1.27,104,61,4873,0.0004,185.86,0.8058252252252253,0.0156780406832695,19594,316
1.26,108,64,5028,0.0004,185.74,0.7996612612612612,0.0008520849514752626,20216,314
1.32,112,67,5227,0.0004,187.92,0.7917828828828829,0.00020198876154609025,21011,312
1.38,116,70,5438,0.0004,190.15,0.7834288288288289,0.0004234759835526347,21854,311
1.34,120,73,5632,0.0004,188.25,0.7757486486486487,2.5276734959334135e-05,22629,309
1.29,124,75,5779,0.0004,186.01,0.7699018018018018,0.000263403810095042,23219,308
1.3,128,78,5969,0.0004,186.9,0.7623702702702704,0.00016026527737267315,23979,306
1.3,132,81,6154,0.0004,186.66,0.7550270270270271,0.014887819066643715,24720,304
1.34,136,85,6373,0.0004,187.74,0.7463558558558558,0.000300874060485512,25595,300
1.38,140,88,6565,0.0004,189.6,0.738745045045045,0.03107531927525997,26363,296
1.37,144,92,6743,0.0004,189.44,0.7316990990990991,3.2567273592576385e-05,27074,293
1.4,148,95,6946,0.0004,190.67,0.7236423423423424,1.385949599352898e-05,27887,290
1.4,152,99,7137,0.0004,190.99,0.7160810810810811,0.00040511638508178294,28650,289
1.42,156,102,7367,0.0004,191.82,0.7069639639639639,7.085061224643141e-05,29570,287
1.48,160,106,7605,0.0004,193.78,0.6975396396396396,2.2681477275909856e-05,30521,286
1.44,164,110,7775,0.0004,191.91,0.6908009009009008,3.094896601396613e-05,31201,283
1.5,168,114,8025,0.0004,193.8,0.6808711711711711,4.0834627725416794e-05,32203,280
1.53,172,118,8232,0.0004,194.75,0.6726756756756757,0.000444936245912686,33030,278
1.57,176,122,8440,0.0004,196.41,0.6644108108108108,0.00010623566777212545,33864,276
1.61,180,126,8657,0.0004,198.28,0.655818918918919,2.8634418413275853e-05,34731,274
1.62,184,129,8828,0.0004,198.43,0.6490405405405406,6.206239777384326e-05,35415,273
1.61,188,133,9034,0.0004,198.11,0.6408846846846847,3.4759726986521855e-05,36238,271
1.57,192,136,9217,0.0004,197.23,0.6336306306306307,1.5930090739857405e-05,36970,270
1.59,196,140,9460,0.0004,198.25,0.6239783783783783,0.015257027931511402,37944,269
1.63,200,144,9659,0.0004,199.37,0.6161,0.015535990707576275,38739,268
1.65,204,147,9878,0.0004,200.22,0.607409009009009,3.8364098145393655e-05,39616,268
1.72,208,151,10090,0.0004,202.48,0.5990054054054055,0.015526472590863705,40464,267
1.77,212,155,10362,0.0004,205.38,0.5882531531531532,3.418906271690503e-05,41549,266
1.77,216,159,10571,0.0004,205.31,0.5799684684684684,4.611434997059405e-05,42385,265
1.78,220,165,10788,0.0004,206.26,0.5713468468468468,7.413950515910983e-05,43255,261
1.84,224,170,10985,0.0004,208.24,0.563537837837838,1.0210398613708094e-05,44043,258
1.9,228,176,11236,0.0004,210.66,0.5536081081081081,0.0009262348175980151,45045,255
1.92,232,181,11453,0.0004,211.96,0.5449765765765766,6.354984361678362e-05,45916,252
1.88,236,186,11635,0.0004,210.47,0.5377819819819819,3.629055208875798e-05,46642,250
1.89,240,190,11833,0.0004,210.72,0.5299234234234234,9.20351012609899e-05,47435,248
1.89,244,195,12011,0.0004,210.74,0.5228576576576576,6.258142821025103e-05,48148,246
1.88,248,200,12218,0.0004,210.89,0.5146522522522523,2.1639238184434362e-05,48976,244
1.9,252,205,12422,0.0004,211.4,0.5065855855855856,1.8529961380409077e-05,49790,242
1.85,256,209,12608,0.0004,209.63,0.49922252252252264,3.558543176040985e-05,50533,241
1.85,260,215,12863,0.0004,210.33,0.4891045045045045,0.01594872772693634,51554,239
1.94,264,221,13138,0.0004,214.55,0.4781837837837838,0.015441003255546093,52656,237
1.85,268,225,13309,0.0004,211.37,0.4714054054054053,0.0005600641597993672,53340,236
1.92,272,231,13550,0.0004,212.73,0.46186216216216214,0.0004933474701829255,54303,234
1.89,276,235,13726,0.0004,211.43,0.45488558558558567,8.758255717111751e-05,55007,233
1.88,280,239,13936,0.0004,211.16,0.4465612612612613,2.2045634977985173e-05,55847,232
1.91,284,244,14142,0.0004,212.55,0.4384054054054054,1.4261975593399256e-05,56670,231
1.89,288,249,14348,0.0004,212.55,0.4302495495495494,0.00045711599523201585,57493,230
1.99,292,255,14607,0.0004,215.61,0.4199630630630631,5.101950955577195e-05,58531,229
1.95,296,260,14808,0.0004,213.89,0.4120153153153153,6.454986760218162e-06,59333,227
2.0,300,266,15053,0.0004,215.77,0.4022738738738739,3.9575956179760396e-05,60316,226
2.0,304,271,15278,0.0004,215.99,0.3933648648648649,0.015368769876658916,61215,225
2.01,308,278,15524,0.0004,217.35,0.38361351351351347,4.906546018901281e-05,62199,223
2.02,312,285,15788,0.0004,217.04,0.3731684684684684,3.990367986261845e-06,63253,221
2.05,316,291,16057,0.0004,219.45,0.36249549549549553,2.3895187041489407e-05,64330,220
2.16,320,301,16403,0.0004,224.6,0.3487702702702702,7.08576844772324e-05,65715,218
2.15,324,306,16611,0.0004,225.05,0.3405153153153153,2.095667878165841e-05,66548,216
2.13,328,312,16834,0.0004,223.95,0.3316756756756757,5.3082898375578225e-05,67440,215
2.15,332,319,17080,0.0004,225.08,0.3219243243243244,0.0151725048199296,68424,214
2.17,336,324,17303,0.0004,226.71,0.31311441441441434,7.40757241146639e-05,69313,213
2.17,340,330,17519,0.0004,227.44,0.30453243243243244,1.2358554158709012e-05,70179,212
2.17,344,334,17710,0.0004,227.94,0.2969711711711712,2.2307973267743364e-05,70942,211
2.28,348,341,17988,0.0004,230.8,0.2859315315315316,0.00057962880237028,72056,210
2.29,352,348,18212,0.0004,231.62,0.2770522522522524,5.777369369752705e-05,72952,209
2.36,356,354,18430,0.0004,232.91,0.26841081081081086,7.853141869418323e-05,73824,208
2.34,360,360,18665,0.0004,232.1,0.2590954954954956,1.0140684025827795e-05,74764,207
2.35,364,366,18914,0.0004,231.01,0.24925495495495498,0.016119124367833138,75757,206
2.45,368,372,19184,0.0004,234.97,0.23855225225225218,8.845748379826546e-05,76837,206
