rollout/ep_len_mean,time/episodes,time/total_timesteps,rollout/exploration_rate,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/n_updates,train/loss,train/learning_rate
20.25,4,81,0.9991972972972973,6721,0,20.25,,,
20.125,8,161,0.9984045045045045,1214,0,20.125,15,0.44279977679252625,0.0004
19.916666666666668,12,239,0.9976315315315315,900,0,19.916666666666668,34,0.2765810787677765,0.0004
19.375,16,310,0.996927927927928,777,0,19.375,52,0.17093321681022644,0.0004
18.6,20,372,0.9963135135135136,728,0,18.6,67,0.09836962074041367,0.0004
20.291666666666668,24,487,0.9951738738738738,673,0,20.291666666666668,96,0.03061985969543457,0.0004
21.035714285714285,28,589,0.9941630630630631,627,0,21.035714285714285,122,0.010976171121001244,0.0004
21.84375,32,699,0.9930729729729729,606,1,21.84375,149,0.010253638960421085,0.0004
22.02777777777778,36,793,0.9921414414414415,596,1,22.02777777777778,173,0.0040929121896624565,0.0004
22.3,40,892,0.9911603603603604,590,1,22.3,197,0.005241080187261105,0.0004
22.636363636363637,44,996,0.9901297297297298,586,1,22.636363636363637,223,0.0013772753300145268,0.0004
22.104166666666668,48,1061,0.9894855855855855,580,1,22.104166666666668,240,0.002862541936337948,0.0004
22.384615384615383,52,1164,0.9884648648648648,572,2,22.384615384615383,265,0.0007614191854372621,0.0004
22.785714285714285,56,1276,0.987354954954955,562,2,22.785714285714285,293,0.00038663894520141184,0.0004
22.45,60,1347,0.9866513513513514,563,2,22.45,311,0.00040518847526982427,0.0004
22.25,64,1424,0.9858882882882882,562,2,22.25,330,0.0002757130132522434,0.0004
22.323529411764707,68,1518,0.9849567567567568,558,2,22.323529411764707,354,0.00037477206205949187,0.0004
21.916666666666668,72,1578,0.9843621621621621,558,2,21.916666666666668,369,0.00034824630711227655,0.0004
22.223684210526315,76,1689,0.9832621621621622,553,3,22.223684210526315,397,0.00012396615056786686,0.0004
22.5125,80,1801,0.9821522522522523,550,3,22.5125,425,0.0001769262016750872,0.0004
22.452380952380953,84,1886,0.98130990990991,549,3,22.452380952380953,446,8.500503463437781e-05,0.0004
22.125,88,1947,0.9807054054054054,548,3,22.125,461,6.192777800606564e-05,0.0004
22.043478260869566,92,2028,0.9799027027027027,545,3,22.043478260869566,481,6.726678111590445e-05,0.0004
22.354166666666668,96,2146,0.9787333333333333,542,3,22.354166666666668,511,6.309611489996314e-05,0.0004
22.42,100,2242,0.977781981981982,540,4,22.42,535,0.00016608115402050316,0.0004
22.38,104,2319,0.9770189189189189,540,4,22.38,554,8.258131856564432e-05,0.0004
22.97,108,2458,0.9756414414414414,542,4,22.97,589,6.070604285923764e-05,0.0004
23.02,112,2541,0.9748189189189189,543,4,23.02,610,7.278799603227526e-05,0.0004
23.35,116,2645,0.9737882882882883,538,4,23.35,636,4.068101407028735e-05,0.0004
23.73,120,2745,0.9727972972972974,537,5,23.73,661,4.691892536357045e-05,0.0004
23.56,124,2843,0.9718261261261262,536,5,23.56,685,3.69154367945157e-05,0.0004
23.61,128,2950,0.9707657657657658,534,5,23.61,712,4.93019942950923e-05,0.0004
23.87,132,3086,0.969418018018018,532,5,23.87,746,4.715468821814284e-05,0.0004
24.32,136,3225,0.9680405405405406,531,6,24.32,781,1.2022581358905882e-05,0.0004
24.17,140,3309,0.9672081081081082,533,6,24.17,802,2.2126907424535602e-05,0.0004
23.98,144,3394,0.9663657657657658,534,6,23.98,823,3.3363521652063355e-05,0.0004
24.26,148,3487,0.9654441441441441,535,6,24.26,846,1.8001821445068344e-05,0.0004
24.09,152,3573,0.9645918918918919,536,6,24.09,868,2.7649128242046572e-05,0.0004
23.79,156,3655,0.9637792792792793,535,6,23.79,888,5.0841284974012524e-05,0.0004
23.7,160,3717,0.9631648648648649,534,6,23.7,904,3.3711508876876906e-05,0.0004
24.25,164,3849,0.9618567567567567,531,7,24.25,937,7.053817535052076e-05,0.0004
24.28,168,3946,0.9608954954954955,531,7,24.28,961,1.3718463378609158e-05,0.0004
24.52,172,4030,0.9600630630630631,531,7,24.52,982,7.356621790677309e-05,0.0004
24.2,176,4109,0.9592801801801802,531,7,24.2,1002,1.908690137497615e-05,0.0004
24.11,180,4212,0.9582594594594595,531,7,24.11,1027,1.2579676877066959e-05,0.0004
24.42,184,4328,0.95710990990991,532,8,24.42,1056,1.3707262041862123e-05,0.0004
24.55,188,4402,0.9563765765765766,530,8,24.55,1075,2.6002579033956863e-05,0.0004
24.48,192,4476,0.9556432432432432,530,8,24.48,1093,2.8727736207656562e-05,0.0004
24.31,196,4577,0.9546423423423424,529,8,24.31,1119,4.055358294863254e-05,0.0004
24.12,200,4654,0.9538792792792793,528,8,24.12,1138,4.3411695514805615e-05,0.0004
23.98,204,4717,0.9532549549549549,528,8,23.98,1154,3.264376209699549e-05,0.0004
23.25,208,4783,0.9526009009009009,527,9,23.25,1170,1.3092448170937132e-05,0.0004
