time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/policy_loss,train/n_updates,time/total_timesteps,train/explained_variance,rollout/ep_len_mean,time/time_elapsed,train/entropy_loss,train/value_loss
100,22.714285714285715,258,0.0007,1.6928749084472656,99,500,0.027831852436065674,22.714285714285715,1,-0.6880157589912415,8.05472183227539
200,24.2,273,0.0007,1.747109055519104,199,1000,-0.034438252449035645,24.2,3,-0.688066303730011,7.641452312469482
300,24.866666666666667,274,0.0007,-4.741787433624268,299,1500,0.00766068696975708,24.866666666666667,5,-0.6569857597351074,142.8341064453125
400,27.323943661971832,275,0.0007,1.3011802434921265,399,2000,0.05677253007888794,27.323943661971832,7,-0.6282939314842224,5.7490129470825195
500,29.843373493975903,281,0.0007,1.5402302742004395,499,2500,-0.0581820011138916,29.843373493975903,8,-0.5691584944725037,5.761386394500732
600,31.46808510638298,283,0.0007,0.9604086875915527,599,3000,0.016642451286315918,31.46808510638298,10,-0.6528763175010681,4.916606903076172
700,33.44,284,0.0007,1.1036955118179321,699,3500,0.013963162899017334,33.44,12,-0.6681340932846069,4.408326148986816
800,35.4,285,0.0007,0.9256116151809692,799,4000,-0.0005211830139160156,35.4,14,-0.6021988987922668,3.9654831886291504
900,38.22,285,0.0007,0.7803223729133606,899,4500,7.075071334838867e-05,38.22,15,-0.6050354242324829,3.4842240810394287
1000,41.75,285,0.0007,0.6922853589057922,999,5000,0.0023224949836730957,41.75,17,-0.618205726146698,3.0152266025543213
1100,44.38,286,0.0007,0.38824471831321716,1099,5500,-0.004299521446228027,44.38,19,-0.3911348283290863,2.612689733505249
1200,47.48,285,0.0007,0.6405351758003235,1199,6000,0.00036853551864624023,47.48,20,-0.6141871809959412,2.193485975265503
1300,51.94,285,0.0007,0.30842843651771545,1299,6500,0.0006662607192993164,51.94,22,-0.4957783818244934,1.8108091354370117
1400,54.66,285,0.0007,0.580845296382904,1399,7000,6.836652755737305e-05,54.66,24,-0.5791572332382202,1.4562515020370483
1500,58.47,286,0.0007,0.2408730536699295,1499,7500,0.00010514259338378906,58.47,26,-0.5094684958457947,1.1383740901947021
1600,61.75,286,0.0007,0.575660228729248,1599,8000,0.00023156404495239258,61.75,27,-0.5704589486122131,0.8639365434646606
1700,65.89,286,0.0007,0.3912113308906555,1699,8500,7.742643356323242e-05,65.89,29,-0.4850599765777588,0.6233822107315063
1800,70.6,286,0.0007,0.264182984828949,1799,9000,8.720159530639648e-05,70.6,31,-0.5346689224243164,0.4178672730922699
1900,75.3,287,0.0007,0.1129598394036293,1899,9500,1.0073184967041016e-05,75.3,33,-0.5088390707969666,0.2566899359226227
2000,79.58,288,0.0007,0.08023105561733246,1999,10000,5.960464477539063e-08,79.58,34,-0.45461463928222656,0.1285901516675949
2100,82.43,288,0.0007,0.11165540665388107,2099,10500,2.378225326538086e-05,82.43,36,-0.4447101056575775,0.04568823054432869
2200,86.65,289,0.0007,0.04281247407197952,2199,11000,0.00043064355850219727,86.65,38,-0.42434486746788025,0.005047905724495649
2300,91.79,289,0.0007,0.003967133816331625,2299,11500,-0.000761866569519043,91.79,39,-0.4150565564632416,4.55905101262033e-05
2400,94.87,290,0.0007,0.0001487962726969272,2399,12000,-0.0033774375915527344,94.87,41,-0.4221237599849701,1.7544952868320252e-07
2500,97.82,291,0.0007,4.680542133428389e-06,2499,12500,-1.119999885559082,97.82,42,-0.4817276895046234,9.196810535350153e-10
2600,104.98,292,0.0007,0.0004375833086669445,2599,13000,2.4974346160888672e-05,104.98,44,-0.4241514801979065,2.105650537487236e-06
2700,108.6,292,0.0007,2.727621904341504e-06,2699,13500,1.0,108.6,46,-0.4861516058444977,6.984919587171845e-11
2800,112.15,292,0.0007,7.428522508234892e-07,2799,14000,0.7333333492279053,112.15,47,-0.4422433078289032,1.7462298274040222e-10
2900,117.47,293,0.0007,0.0006207216647453606,2899,14500,1.531839370727539e-05,117.47,49,-0.5237857103347778,7.648102837265469e-06
3000,120.5,293,0.0007,-1.1759086646634387e-06,2999,15000,0.39499998092651367,120.5,51,-0.48156997561454773,8.731149137020111e-10
3100,123.57,293,0.0007,8.523834367224481e-06,3099,15500,0.7142857313156128,123.57,52,-0.5538415312767029,5.471520458932844e-10
3200,127.18,294,0.0007,-1.566928949614521e-05,3199,16000,-3.5999999046325684,127.18,54,-0.542950451374054,1.6181730400077754e-09
3300,133.79,294,0.0007,0.006543859839439392,3299,16500,-0.006220817565917969,133.79,56,-0.38214436173439026,0.00019695555965881795
3400,136.28,294,0.0007,0.0003468884970061481,3399,17000,-1.5388798713684082,136.28,57,-0.48813143372535706,1.122895696425985e-06
3500,140.74,294,0.0007,0.004922053776681423,3499,17500,0.14140933752059937,140.74,59,-0.26009601354599,4.6492263209074736e-05
3600,144.18,294,0.0007,0.0024248394183814526,3599,18000,0.005813121795654297,144.18,61,-0.3372545838356018,0.0005910106701776385
3700,145.87,295,0.0007,0.0058662439696490765,3699,18500,0.1123010516166687,145.87,62,-0.32749661803245544,0.003338512731716037
3800,146.76,295,0.0007,-0.6661058664321899,3799,19000,-14.637747764587402,146.76,64,-0.299155056476593,9.2752103805542
3900,149.52,295,0.0007,1.0720911026000977,3899,19500,0.17422890663146973,149.52,66,-0.3025698959827423,34.33739471435547
4000,150.97,295,0.0007,-0.4869105815887451,3999,20000,-2.3759450912475586,150.97,67,-0.27496692538261414,11.373953819274902
4100,153.63,295,0.0007,0.014911830425262451,4099,20500,-0.8616029024124146,153.63,69,-0.32315292954444885,0.013179132714867592
4200,156.77,295,0.0007,0.02046317234635353,4199,21000,-12.147637367248535,156.77,71,-0.2813240885734558,0.004977281671017408
4300,159.51,295,0.0007,0.02466011978685856,4299,21500,-2.4292805194854736,159.51,72,-0.2296687811613083,0.002933243755251169
4400,163.13,295,0.0007,-0.027833539992570877,4399,22000,0.5080207586288452,163.13,74,-0.32841840386390686,0.0022864441853016615
4500,163.33,295,0.0007,0.0019521145150065422,4499,22500,0.7169761657714844,163.33,76,-0.20686963200569153,0.000634263560641557
4600,159.38,296,0.0007,0.0014521111734211445,4599,23000,-56.4639778137207,159.38,77,-0.1716459095478058,0.002051582792773843
4700,146.07,296,0.0007,-0.0037540935445576906,4699,23500,0.23203682899475098,146.07,79,-0.2729707658290863,0.0014604692114517093
4800,118.6,296,0.0007,0.011711375787854195,4799,24000,-4.439314365386963,118.6,80,-0.29855218529701233,0.0032598029356449842
4900,94.83,296,0.0007,0.0316980741918087,4899,24500,0.8857006430625916,94.83,82,-0.36920931935310364,0.03453167900443077
5000,85.64,296,0.0007,-0.0013314768439158797,4999,25000,-1.0728645324707031,85.64,84,-0.28981176018714905,0.08026709407567978
5100,88.51,296,0.0007,0.019103361293673515,5099,25500,-10.974723815917969,88.51,85,-0.32501015067100525,0.0044267438352108
5200,92.91,296,0.0007,-0.00270857778377831,5199,26000,-74.91338348388672,92.91,87,-0.4673411548137665,0.00085847033187747
5300,96.71,296,0.0007,-0.005267408676445484,5299,26500,-26.826507568359375,96.71,89,-0.42586883902549744,0.000166429701494053
5400,100.63,297,0.0007,-0.007649271283298731,5399,27000,-72.83841705322266,100.63,90,-0.4694158136844635,0.00029057226493023336
5500,104.04,296,0.0007,-0.006959711201488972,5499,27500,-928.1085205078125,104.04,92,-0.43105658888816833,0.0008199656731449068
5600,108.18,296,0.0007,0.0018947646021842957,5599,28000,-582.1331176757812,108.18,94,-0.3813207149505615,0.00026322106714360416
